ID,Category,Comment,Comment Type,Relevance,Actionable Suggestions,Comment Date,Lecturer Name or Reviewer ID,Priority
1,"Structure, Presetation and Layout",There is no title page or the included title page has errors or omissions.,Constructive,High,Add a properly formatted title page.,22/11/2024,Dr Jones,High
2,"Structure, Presetation and Layout",The overall structure has weaknesses e.g. No table of contents; no proper page numbering linked to the contents; no use of header/footer options to include key details such as Registration Number on each page.,Constructive,Medium,Improve the structure.,23/11/2024,Dr Jones,Low
3,"Structure, Presetation and Layout","The structure has room for enhancement e.g. the use of numbered sections; the inclusion of key sections such as abstract, introduction, review material, method, results/findings, discussion, conclusions, scope for further work, reflections on related learning, references, appendix; the appropriate ordering of sections.",Critical,Low,Enhance the structure.,24/11/2024,Dr Johnston,High
4,"Structure, Presetation and Layout","Figures are not numbered in sequence and/or do not have captions; figures are not formally referred to at least once, in each case.",Constructive,High,Fix the figures.,25/11/2024,Dr Jones,Medium
5,"Structure, Presetation and Layout",Features such as Tables or Equations are not labelled and numbered in sequence and/or referred to from within text sections.,Constructive,High,Label tables etc.,26/11/2024,Dr Michael,Medium
6,"Structure, Presetation and Layout","Figures, tables or equations are not positioned close to where they are first referred to. (Where an appendix has been used for figures, this comment should be applied to sample figures/illustrations which may be required in the main body of the text.)",Positive,Medium,Position tables close to where they are refernced.,27/11/2024,Dr McCrory,Low
7,"Structure, Presetation and Layout",The formatting of pages detracts from the professional appearance of the document e.g. Captions/figure numbers and related figures on different pages; Excessive gaps between text sections for no apparent reason; irregular arrangement of material which lacks a consistent style,Constructive,Low,Fix the formatting of pages.,28/11/2024,Dr Jones,High
8,"Structure, Presetation and Layout",Fonts are variable in size and/or style in ways that detract from the professional appearance of the work.,Constructive,High,Fix the Fonts.,30/11/2024,Dr Hunter,High
9,"Structure, Presetation and Layout","Figures are not fully legible and/or do not adequately justify their inclusion for reasons such as: poor quality; not ideal to illustrate the points for which they are intended; excessive or inadequate information content; lack of focus, notably for scanned figures; poor reproduction such as significant printer cartridge related flaws; scruffy/untidy illustrations for hand-drawn works; use of pencil instead of black (or appropriate coloured) ink.",Constructive,Medium,Make Figures legible.,01/12/2024,Dr Jones,High
10,"Structure, Presetation and Layout",The overall presentation of the submission detracts from the quality of the work e.g. dirty and/or crumpled paper; illegible features such as ‘rough and ready’ hand annotations; other obvious features which are not commensurate with a professional business-like presentation style.,Constructive,High,improve presentation quality.,02/12/2024,Dr Hutchison,Medium
11,"Structure, Presetation and Layout","Red pen has been used but this is generally reserved for marking purposes. Red should not be used in your work unless it has been permitted specifically for the coursework in question (e.g. red lines representing polysilicon wires in an electronic layout, where colour representation is standard).",Positive,Low,Change colour of writing from red pen to black or blue.,03/12/2024,Dr Jones,Low
